Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
79,Brayan Rocchio,22,CLB,AAA,CLE,116,537,468,81,131,33,6,7,65,25,7,60,66,0.28,0.367,0.421,0.788,197,9,6,0,3,0
80,Johnathan Rodríguez,23,CLB,AAA,CLE,47,202,175,32,49,12,2,11,33,0,0,25,66,0.28,0.376,0.56,0.936,98,4,2,0,0,0
81,Canaan Smith-Njigba,24,INA,AAA,PIT,105,445,389,57,109,28,1,15,74,21,5,53,118,0.28,0.366,0.473,0.839,184,10,1,0,2,2
82,Forrest Wall,27,GWI,AAA,ATL,90,411,354,62,99,16,6,8,43,52,8,52,90,0.28,0.372,0.427,0.799,151,4,2,0,3,0
83,Shayne Fontana*,26,NFK,AAA,BAL,58,227,190,28,53,10,2,4,26,12,1,26,43,0.279,0.382,0.416,0.798,79,2,7,2,2,0
84,Hernán Pérez,32,STP,AAA,MIN,63,231,204,30,57,8,2,10,47,9,4,23,48,0.279,0.351,0.485,0.836,99,8,1,0,3,2
85,Víctor Reyes,28,CHR,AAA,CHW,128,546,502,75,140,28,2,20,83,3,1,36,124,0.279,0.33,0.462,0.792,232,16,4,0,4,0
86,Greg Jones,25,DHM,AAA,TBR,51,189,169,32,47,9,1,7,26,12,4,15,73,0.278,0.344,0.468,0.811,79,3,3,0,2,0
87,Justyn-Henry Malloy,23,TOL,AAA,DET,136,611,487,89,135,25,1,23,83,5,1,110,152,0.277,0.417,0.474,0.892,231,17,10,0,4,1
88,Alexander Canario,23,IWA,AAA,CHC,36,161,145,23,40,12,0,8,35,2,0,15,45,0.276,0.342,0.524,0.866,76,2,0,0,1,0
89,Ben Gamel*,31,DHM,AAA,TBR,59,250,203,37,56,12,1,8,31,4,1,42,57,0.276,0.402,0.463,0.865,94,4,2,1,2,0
90,Matt Koperniak,25,MEM,AAA,STL,96,422,371,56,102,12,2,14,67,9,1,44,61,0.275,0.353,0.431,0.784,160,4,3,0,4,0
91,Nick Martini*,33,LOU,AAA,CIN,93,417,345,64,95,20,3,15,65,0,1,60,87,0.275,0.393,0.481,0.875,166,5,9,0,3,0
92,Davis Schneider,24,BFL,AAA,TOR,87,392,309,61,85,21,1,21,64,9,3,72,86,0.275,0.416,0.553,0.969,171,5,6,0,5,0
93,Wilyer Abreu*,24,WOR,AAA,BOS,86,363,299,67,82,11,1,22,65,8,1,59,74,0.274,0.391,0.539,0.93,161,3,1,0,4,1
94,Mark Contreras,28,STP,AAA,MIN,90,381,340,52,93,17,1,10,54,23,8,36,99,0.274,0.352,0.418,0.769,142,3,5,0,0,0
95,Dalton Guthrie,27,"GWI,LHV",AAA,ATL-PHI,71,301,259,32,71,11,3,4,31,6,3,31,67,0.274,0.37,0.386,0.756,100,4,9,1,1,0
96,Billy McKinney*,28,SWB,AAA,NYY,40,160,135,20,37,5,0,9,25,3,1,22,32,0.274,0.388,0.511,0.899,69,1,3,0,0,0
97,Darren Baker,24,ROC,AAA,WSN,99,448,403,49,110,10,4,3,41,19,5,39,76,0.273,0.338,0.34,0.678,137,5,1,4,1,0
98,Clay Dungan,27,OMA,AAA,KCR,89,329,271,50,74,14,1,3,30,16,2,50,68,0.273,0.386,0.365,0.751,99,5,3,0,5,0
99,Darius Hill*,25,IWA,AAA,CHC,90,372,334,48,91,21,4,2,44,3,1,33,56,0.273,0.343,0.377,0.72,126,6,3,2,0,0
100,Vidal Bruján,25,DHM,AAA,TBR,59,276,239,41,65,11,4,10,32,19,14,31,49,0.272,0.362,0.477,0.839,114,3,4,0,2,0
